,u,g,r,i,z,spec_class,redshift,redshift_err
0,19.84132,19.52656,19.46946,19.17955,19.10763,b'QSO',0.539301,6.543622e-05
1,19.86318,18.66298,17.84272,17.38978,17.14313,b'GALAXY',0.1645703,1.186625e-05
2,19.97362,18.31421,17.47922,17.0744,16.76174,b'GALAXY',0.04190006,2.183788e-05
3,19.05989,17.49459,16.59285,16.09412,15.70741,b'GALAXY',0.04427702,1.062687e-05
4,19.45567,18.33084,17.67185,17.30189,17.1365,b'GALAXY',0.04164413,1.766807e-05
5,18.27065,18.08745,18.08966,18.2218,18.37045,b'QSO',0.3965296,0.05659872
6,18.9449,17.45382,16.71061,16.26543,15.9486,b'GALAXY',0.07331888,9.853409e-06
7,19.7136,18.72367,18.0532,17.62663,17.39702,b'GALAXY',0.1164792,7.659375e-06
8,18.84868,16.86433,15.90334,15.4289,15.08823,b'GALAXY',0.05781441,1.565417e-05
9,19.76609,18.53251,17.909,17.48039,17.26884,b'GALAXY',0.08105326,6.877969e-06
10,19.03113,17.93515,17.49739,17.15799,16.99095,b'GALAXY',0.08187652,7.792693e-06
11,19.34175,18.33376,17.95975,17.67543,17.54168,b'GALAXY',0.08204021,6.120638e-06
12,19.20547,18.21573,17.73127,17.42313,17.32267,b'GALAXY',0.08218662,6.487076e-06
13,16.62952,14.88339,14.55241,14.57238,15.26632,b'GALAXY',0.006617586,2.337325e-05
14,19.16411,17.27371,16.31466,15.78471,15.44008,b'GALAXY',0.08283905,1.174555e-05
15,19.3035,17.90728,17.25062,16.8549,16.58678,b'GALAXY',0.05615441,9.687044e-06
16,19.85129,17.91458,17.07851,16.54578,16.2234,b'GALAXY',0.05587652,1.501832e-05
17,18.17672,17.0105,16.41779,16.03847,15.84439,b'GALAXY',0.08418034,7.888125e-06
18,18.87921,17.12427,16.25532,15.85055,15.55597,b'GALAXY',0.03191336,1.439829e-05
19,18.95872,17.04945,16.16656,15.71334,15.41194,b'GALAXY',0.04842826,8.992653e-06
20,19.08604,17.34755,16.35862,15.84222,15.47503,b'GALAXY',0.08456031,2.186158e-05
21,18.97039,18.81752,18.68532,18.60291,18.3335,b'QSO',2.084146,0.0004871592
22,19.09687,17.18067,16.23233,15.81135,15.496,b'GALAXY',0.074072,1.350116e-05
23,19.82124,18.36968,17.77064,17.46777,17.2632,b'GALAXY',0.05618966,7.883778e-06
24,19.85859,17.79928,16.93674,16.53007,16.25196,b'GALAXY',0.04733117,2.255924e-05
25,18.84787,17.41474,16.51413,16.05776,15.70811,b'GALAXY',0.1420054,1.510941e-05
26,19.67421,17.69354,16.77878,16.33795,16.01818,b'GALAXY',0.05696096,1.31411e-05
27,19.13682,17.68731,16.95025,16.58156,16.33688,b'GALAXY',0.05630004,2.282862e-05
28,19.65186,17.5882,16.53643,16.07912,15.72073,b'GALAXY',0.1042009,1.699318e-05
29,19.81258,18.27953,17.46062,17.03178,16.75178,b'GALAXY',0.05413438,1.555845e-05
30,19.6903,17.69184,16.77174,16.32761,16.02476,b'GALAXY',0.05777619,1.534875e-05
31,17.58181,15.61991,14.68611,14.25259,13.94145,b'GALAXY',0.05743192,1.02805e-05
32,19.94213,18.30429,17.47191,17.06047,16.76366,b'GALAXY',0.05620848,1.720486e-05
33,18.46074,16.66113,15.76071,15.28354,14.91325,b'GALAXY',0.06000083,1.03395e-05
34,19.13946,17.60407,16.78533,16.33308,16.03743,b'GALAXY',0.05803312,1.007711e-05
35,17.70825,15.98851,15.15354,14.72,14.4314,b'GALAXY',0.05713774,1.004444e-05
36,19.99784,18.12518,17.23055,16.78892,16.47437,b'GALAXY',0.0569903,1.464421e-05
37,19.08575,17.05986,16.13237,15.6801,15.35666,b'GALAXY',0.05639601,1.07616e-05
38,19.28121,17.80231,17.05345,16.64937,16.41799,b'GALAXY',0.0566049,1.839997e-05
39,18.81749,17.38545,16.74205,16.33755,16.05907,b'GALAXY',0.0720602,9.576039e-06
40,18.9828,17.45727,16.59957,16.11219,15.77914,b'GALAXY',0.09088155,1.19777e-05
41,18.99152,17.471,16.6255,16.10415,15.79107,b'GALAXY',0.09085388,6.669521e-06
42,19.72725,18.24207,17.65169,17.28164,17.07238,b'GALAXY',0.08474916,6.928814e-06
43,19.5635,18.33654,17.72666,17.37551,17.21048,b'GALAXY',0.1026237,1.059349e-05
44,19.40331,18.21209,17.63813,17.21235,17.00459,b'GALAXY',0.08897925,5.800851e-06
45,19.90655,18.31481,17.49024,16.9968,16.59412,b'GALAXY',0.08769272,7.465557e-06
46,19.89297,19.59899,19.39737,19.02811,19.00006,b'QSO',1.816166,0.0008091411
47,19.61848,19.33509,18.97515,18.87846,18.8219,b'QSO',1.386899,0.0004405224
48,19.65629,18.23695,17.40438,16.97411,16.61696,b'GALAXY',0.1589259,2.620957e-05
49,19.37122,17.874,17.23508,16.81075,16.53594,b'GALAXY',0.06984673,6.287236e-06
50,19.54832,17.7261,16.90218,16.43995,16.12423,b'GALAXY',0.1002968,1.59138e-05
51,18.68742,17.38063,16.91847,16.65045,16.45192,b'GALAXY',0.04958897,7.482447e-06
52,19.11156,17.52936,16.71915,16.2628,15.86935,b'GALAXY',0.05020094,7.542399e-06
53,17.4006,16.28152,15.84907,15.60405,15.40086,b'GALAXY',0.03276557,7.258082e-06
54,19.4538,17.66171,16.74143,16.32539,16.0302,b'GALAXY',0.09217949,2.174841e-05
